
1,Esteira (Fitness),12.23,22
2,Ventilador (Casa),209.72,57
3,Shampoo (Beleza),434.6,15
4,Condicionador (Beleza),29.68,48
5,Limpador de Para-brisa (Automotivo),206.5,63
6,Halter (Fitness),202.65,85
7,Creme Hidratante (Beleza),79.04,6
8,Cadeira Gamer (Games),310.75,38
9,Cafeteira (Casa),266.7,21
10,Kit Multimídia (Automotivo),388.74,69
11,Creme Hidratante (Beleza),389.21,43
12,Teclado Mecânico (Tecnologia),427.06,74
13,Controle (Games),409.59,66
14,Controle (Games),41.52,64
15,Tênis Casual (Moda),39.18,47
16,Jogo RPG (Games),307.84,56
17,Mouse Gamer (Tecnologia),433.28,82
18,Cafeteira (Casa),85.74,97
19,Perfume (Beleza),102.2,96
20,Calça Jeans (Moda),155.33,70
21,Protetor Solar (Beleza),132.67,90
22,Calça Jeans (Moda),483.2,70
23,Limpador de Para-brisa (Automotivo),100.66,66
24,Limpador de Para-brisa (Automotivo),442.73,27
25,Webcam HD (Tecnologia),237.09,83
26,Cafeteira (Casa),176.94,31
27,Limpador de Para-brisa (Automotivo),229.65,89
28,Camiseta Estampada (Moda),304.47,70
29,Lâmpada LED (Casa),472.53,89
30,Calça Jeans (Moda),224.44,36
31,Jogo RPG (Games),248.55,86
32,Perfume (Beleza),391.15,32
33,Luva de Academia (Fitness),280.89,38
34,Lâmpada LED (Casa),5.56,50
35,Panela Antiaderente (Casa),339.35,10
36,Webcam HD (Tecnologia),20.94,76
37,Perfume (Beleza),36.77,38
38,Corda de Pular (Fitness),343.84,6
39,Shampoo (Beleza),71.04,2
40,Lâmpada LED (Casa),165.22,79
41,Corda de Pular (Fitness),107.37,100
42,Condicionador (Beleza),465.27,41
43,Liquidificador (Casa),193.64,41
44,Relógio (Moda),487.8,48
45,Webcam HD (Tecnologia),184.54,72
46,Luva de Academia (Fitness),92.6,7
47,Webcam HD (Tecnologia),262.86,79
48,Garrafa Térmica (Fitness),359.86,86
49,Halter (Fitness),168.74,29
50,Webcam HD (Tecnologia),200.6,65
51,Mousepad Gamer (Games),298.32,7
52,Headset RGB (Tecnologia),129.15,37
53,Jaqueta (Moda),230.97,82
54,Jogo FPS (Games),255.5,5
55,Calça Jeans (Moda),336.65,57
56,SSD 1TB (Tecnologia),175.16,1
57,SSD 1TB (Tecnologia),31.62,43
58,Boné (Moda),318.18,35
59,Sensor de Ré (Automotivo),238.67,95
60,Condicionador (Beleza),221.55,80
61,Jogo RPG (Games),92.16,21
62,Mousepad Gamer (Games),491.37,56
63,Mouse Gamer (Tecnologia),172.54,28
64,Liquidificador (Casa),264.74,98
65,Garrafa Térmica (Fitness),24.43,39
66,Maquiagem (Beleza),349.41,2
67,Mousepad Gamer (Games),199.59,86
68,Shampoo (Beleza),190.45,43
69,Camiseta Estampada (Moda),93.19,99
70,Luva de Academia (Fitness),380.56,9
71,Sensor de Ré (Automotivo),175.87,62
72,Controle (Games),354.92,79
73,Esteira (Fitness),87.26,52
74,Corda de Pular (Fitness),390.96,25
75,Luva de Academia (Fitness),138.73,76
76,Webcam HD (Tecnologia),266.98,52
77,Camiseta Estampada (Moda),477.09,38
78,Kit Multimídia (Automotivo),26.82,59
79,Sensor de Ré (Automotivo),180.53,29
80,Ventilador (Casa),315.01,99
81,Aspirador (Casa),22.4,85
82,Calça Jeans (Moda),255.01,70
83,"Monitor 24"" (Tecnologia)",35.8,4
84,Lâmpada LED (Casa),95.39,28
85,Shampoo (Beleza),324.32,96
86,Tênis Casual (Moda),340.57,46
87,Protetor Solar (Beleza),147.6,25
88,Headset RGB (Tecnologia),65.63,18
89,Mouse Gamer (Tecnologia),460.93,40
90,Protetor Solar (Beleza),479.51,5
91,Boné (Moda),237.59,31
92,Sensor de Ré (Automotivo),171.81,52
93,Sensor de Ré (Automotivo),162.24,31
94,Tênis Casual (Moda),413.11,36
95,Protetor Solar (Beleza),457.62,25
96,Jogo FPS (Games),258.26,78
97,Limpador de Para-brisa (Automotivo),234.62,95
98,Liquidificador (Casa),47.62,30
99,Jogo RPG (Games),12.28,21
100,Limpador de Para-brisa (Automotivo),454.49,2
101,Limpador de Para-brisa (Automotivo),495.49,28
102,"Monitor 24"" (Tecnologia)",440.88,99
103,Jaqueta (Moda),135.82,79
104,Mousepad Gamer (Games),148.98,20
105,Mouse Gamer (Tecnologia),481.2,91
106,Perfume (Beleza),31.44,12
107,Liquidificador (Casa),456.51,51
108,Halter (Fitness),288.48,21
109,Perfume (Beleza),180.31,24
